rank,k,beta,late_q,mean_inner_validation_mae,std_inner_validation_mae,delta_to_best,num_inner_tasks
1,10,0.7,0.0,3.3114,1.5638,0.0,6
2,3,0.7,0.0,3.3116,1.5629,0.0003,6
3,5,0.7,0.0,3.3128,1.5629,0.0014,6
4,10,0.5,0.0,3.8877,2.5256,0.5763,6
5,3,0.5,0.0,3.8887,2.5188,0.5773,6
6,5,0.5,0.0,3.8891,2.5201,0.5778,6
7,10,0.3,0.0,4.5299,3.5408,1.2185,6
8,5,0.3,0.0,4.5308,3.5369,1.2194,6
9,3,0.3,0.0,4.5309,3.5358,1.2195,6
10,3,0.7,0.8,4.7739,1.1888,1.4625,6
11,5,0.7,0.8,4.778,1.1864,1.4666,6
12,10,0.7,0.8,4.7866,1.1885,1.4752,6
13,3,0.5,0.8,4.939,1.9523,1.6277,6
14,5,0.5,0.8,4.942,1.9496,1.6306,6
15,10,0.5,0.8,4.9481,1.9495,1.6367,6
16,3,0.3,0.8,5.1222,3.2028,1.8108,6
17,5,0.3,0.8,5.1241,3.201,1.8127,6
18,10,0.3,0.8,5.1281,3.2002,1.8167,6
