Base Feat (7D),Complex Feat,Reg. Head,TMA,KNN Retrieval,C1 Target (MAE/RMSE),C4 Target (MAE/RMSE),C6 Target (MAE/RMSE),Avg (MAE/RMSE)
✓,-,✓,-,-,5.1470 / 6.2884,4.3575 / 5.7984,4.4243 / 5.0665,4.6429 / 5.7178
✓,-,-,✓,-,4.9189 / 5.6726,4.2480 / 5.2238,5.5669 / 5.9324,4.9113 / 5.6096
✓,-,-,-,✓,2.6133 / 2.9668,2.5691 / 3.1348,2.2289 / 2.6342,2.4704 / 2.9119
✓,-,✓,-,-,3.3863 / 4.1745,3.3879 / 4.3192,2.6248 / 3.0576,3.1330 / 3.8504
✓,-,-,✓,✓,2.7296 / 3.0900,2.6175 / 3.2093,2.3226 / 2.6889,2.5566 / 2.9961
✓,-,✓,✓,✓,3.2150 / 3.8439,3.3501 / 4.1302,3.7592 / 3.9863,3.4414 / 3.9868
✓,✓(14D),✓,-,-,5.4890 / 6.5984,4.3856 / 5.4584,5.4359 / 8.0989,5.1035 / 6.7186
✓,✓(14D),-,-,✓,2.2732 / 2.6421,2.6479 / 3.2267,2.3555 / 2.7234,2.4255 / 2.8641 *
✓,✓(14D),✓,-,-,2.2732 / 2.6421,2.6479 / 3.2267,2.3555 / 2.7234,2.4255 / 2.8641
✓,✓(21D),✓,-,-,5.0984 / 5.7189,6.3697 / 7.9546,9.2063 / 12.9354,6.8915 / 8.8696
✓,✓(21D),-,-,✓,2.6595 / 2.9558,2.8374 / 3.3319,2.0121 / 2.3728 *,2.5030 / 2.8868
✓,✓(21D),✓,-,-,2.6595 / 2.9558,2.8374 / 3.3319,2.0121 / 2.3728,2.5030 / 2.8868
-,✓(133D),✓,-,-,4.9402 / 6.3221,4.8904 / 6.2017,30.1552 / 44.1790,13.3286 / 18.9009
-,✓(133D),-,-,✓,2.5880 / 2.9661,2.6713 / 3.3813,2.6191 / 2.9122,2.6261 / 3.0865
-,✓(133D),✓,-,-,2.5880 / 2.9661,2.6713 / 3.3813,2.6191 / 2.9122,2.6261 / 3.0865
