k,beta,late_q,mean_inner_validation_mae,std_inner_validation_mae,num_inner_tasks
10,0.7,0.0,3.31137748559316,1.5638437362970317,6
3,0.7,0.0,3.3116453687349954,1.5629159105349786,6
5,0.7,0.0,3.312823315461477,1.5629323345987811,6
10,0.5,0.0,3.8877026637395224,2.5255645105955042,6
3,0.5,0.0,3.888652781645457,2.518796911234878,6
5,0.5,0.0,3.889129718144735,2.520137040242003,6
10,0.3,0.0,4.529851237932841,3.5408278536485853,6
5,0.3,0.0,4.530761480331421,3.5369000305487672,6
3,0.3,0.0,4.530918816725413,3.5357571118299416,6
3,0.7,0.8,4.773927132288615,1.1887659311716956,6
5,0.7,0.8,4.777955134709676,1.1864038775665022,6
10,0.7,0.8,4.786603927612305,1.1884509797410527,6
3,0.5,0.8,4.9390318393707275,1.9523477380644332,6
5,0.5,0.8,4.941985845565796,1.9495642595082996,6
10,0.5,0.8,4.948053280512492,1.949461344163031,6
3,0.3,0.8,5.122150381406148,3.202820690382876,6
5,0.3,0.8,5.124110698699951,3.2010032992191473,6
10,0.3,0.8,5.128090858459473,3.2001933597450036,6
