inner_id,outer_fold,library_run,query_run,k,beta,late_q,mode,library_wear_threshold_um,mse_full_raw,rmse_full_raw,mae_full_raw,valid_points
fold1:c1->c4,fold1,c1,c4,,,,head-only,,10.145071029663086,3.185132811934706,2.455203056335449,219
fold1:c1->c4,fold1,c1,c4,3,,0.0,delta-knn-only@k3,94.5686264038086,14.923206329345703,3.8630566044708305,2.943833112716675,219
fold1:c1->c4,fold1,c1,c4,3,0.3,0.0,delta-blend@k3_b03,94.5686264038086,7.512998104095459,2.740984878487194,1.9153952598571777,219
fold1:c1->c4,fold1,c1,c4,3,0.5,0.0,delta-blend@k3_b05,94.5686264038086,7.694246768951416,2.773850531112197,2.064077854156494,219
fold1:c1->c4,fold1,c1,c4,3,0.7,0.0,delta-blend@k3_b07,94.5686264038086,9.424257278442383,3.069895320437227,2.2600910663604736,219
fold1:c1->c4,fold1,c1,c4,5,,0.0,delta-knn-only@k5,94.5686264038086,14.847455978393555,3.853239673105419,2.9351329803466797,219
fold1:c1->c4,fold1,c1,c4,5,0.3,0.0,delta-blend@k5_b03,94.5686264038086,7.494596481323242,2.737626066745282,1.9125065803527832,219
fold1:c1->c4,fold1,c1,c4,5,0.5,0.0,delta-blend@k5_b05,94.5686264038086,7.66151237487793,2.767943708762505,2.0611162185668945,219
fold1:c1->c4,fold1,c1,c4,5,0.7,0.0,delta-blend@k5_b07,94.5686264038086,9.3755521774292,3.061952347347881,2.2553443908691406,219
fold1:c1->c4,fold1,c1,c4,10,,0.0,delta-knn-only@k10,94.5686264038086,14.69890308380127,3.8339148508803986,2.9069325923919678,219
fold1:c1->c4,fold1,c1,c4,10,0.3,0.0,delta-blend@k10_b03,94.5686264038086,7.459347248077393,2.731180559406022,1.9077773094177246,219
fold1:c1->c4,fold1,c1,c4,10,0.5,0.0,delta-blend@k10_b05,94.5686264038086,7.598330020904541,2.756506851234827,2.0545108318328857,219
fold1:c1->c4,fold1,c1,c4,10,0.7,0.0,delta-blend@k10_b07,94.5686264038086,9.280881881713867,3.0464539848344776,2.2440037727355957,219
fold1:c1->c4,fold1,c1,c4,3,,0.8,delta-knn-only@k3,131.3871307373047,17.176828384399414,4.144493742835114,3.101071357727051,219
fold1:c1->c4,fold1,c1,c4,3,0.3,0.8,delta-blend@k3_b03,131.3871307373047,7.990476131439209,2.826743025363149,2.0813584327697754,219
fold1:c1->c4,fold1,c1,c4,3,0.5,0.8,delta-blend@k3_b05,131.3871307373047,8.58461856842041,2.9299519737395716,2.3503334522247314,219
fold1:c1->c4,fold1,c1,c4,3,0.7,0.8,delta-blend@k3_b07,131.3871307373047,10.803183555603027,3.2868196719021605,2.630183219909668,219
fold1:c1->c4,fold1,c1,c4,5,,0.8,delta-knn-only@k5,131.3871307373047,17.17148208618164,4.143848704547699,3.1110095977783203,219
fold1:c1->c4,fold1,c1,c4,5,0.3,0.8,delta-blend@k5_b03,131.3871307373047,8.00623607635498,2.8295293029680715,2.0868875980377197,219
fold1:c1->c4,fold1,c1,c4,5,0.5,0.8,delta-blend@k5_b05,131.3871307373047,8.60261058807373,2.9330207275220084,2.358748435974121,219
fold1:c1->c4,fold1,c1,c4,5,0.7,0.8,delta-blend@k5_b07,131.3871307373047,10.816802024841309,3.288890698220497,2.640713691711426,219
fold1:c1->c4,fold1,c1,c4,10,,0.8,delta-knn-only@k10,131.3871307373047,17.08567237854004,4.133481871079156,3.1151318550109863,219
fold1:c1->c4,fold1,c1,c4,10,0.3,0.8,delta-blend@k10_b03,131.3871307373047,8.007953643798828,2.8298327943182136,2.089323043823242,219
fold1:c1->c4,fold1,c1,c4,10,0.5,0.8,delta-blend@k10_b05,131.3871307373047,8.59239673614502,2.9312790273436984,2.3625128269195557,219
fold1:c1->c4,fold1,c1,c4,10,0.7,0.8,delta-blend@k10_b07,131.3871307373047,10.784197807312012,3.283930237887524,2.645371913909912,219
fold1:c4->c1,fold1,c4,c1,,,,head-only,,3.024928569793701,1.7392321782308713,1.3249032497406006,219
fold1:c4->c1,fold1,c4,c1,3,,0.0,delta-knn-only@k3,91.17752075195312,30.81326675415039,5.550969893104303,4.684551239013672,219
fold1:c4->c1,fold1,c4,c1,3,0.3,0.0,delta-blend@k3_b03,91.17752075195312,5.10667085647583,2.2597944279238833,1.8461602926254272,219
fold1:c4->c1,fold1,c4,c1,3,0.5,0.0,delta-blend@k3_b05,91.17752075195312,9.47295093536377,3.07781593591361,2.586297035217285,219
fold1:c4->c1,fold1,c4,c1,3,0.7,0.0,delta-blend@k3_b07,91.17752075195312,16.222000122070312,4.027654419394781,3.378263235092163,219
fold1:c4->c1,fold1,c4,c1,5,,0.0,delta-knn-only@k5,91.17752075195312,30.55947494506836,5.528062494678254,4.676950454711914,219
fold1:c4->c1,fold1,c4,c1,5,0.3,0.0,delta-blend@k5_b03,91.17752075195312,5.088444232940674,2.2557580173725804,1.8470327854156494,219
fold1:c4->c1,fold1,c4,c1,5,0.5,0.0,delta-blend@k5_b05,91.17752075195312,9.414998054504395,3.068386881490728,2.5848472118377686,219
fold1:c4->c1,fold1,c4,c1,5,0.7,0.0,delta-blend@k5_b07,91.17752075195312,16.10226058959961,4.0127622144352895,3.3740744590759277,219
fold1:c4->c1,fold1,c4,c1,10,,0.0,delta-knn-only@k10,91.17752075195312,29.78858184814453,5.457891703592563,4.612353324890137,219
fold1:c4->c1,fold1,c4,c1,10,0.3,0.0,delta-blend@k10_b03,91.17752075195312,5.017653942108154,2.2400120406167807,1.8395586013793945,219
fold1:c4->c1,fold1,c4,c1,10,0.5,0.0,delta-blend@k10_b05,91.17752075195312,9.220600128173828,3.0365441093739816,2.56439471244812,219
fold1:c4->c1,fold1,c4,c1,10,0.7,0.0,delta-blend@k10_b07,91.17752075195312,15.723116874694824,3.9652385646635215,3.3376197814941406,219
fold1:c4->c1,fold1,c4,c1,3,,0.8,delta-knn-only@k3,106.58170318603516,40.5557746887207,6.368341596422157,6.090305328369141,219
fold1:c4->c1,fold1,c4,c1,3,0.3,0.8,delta-blend@k3_b03,106.58170318603516,5.6670145988464355,2.3805492221011595,2.0005931854248047,219
fold1:c4->c1,fold1,c4,c1,3,0.5,0.8,delta-blend@k3_b05,106.58170318603516,11.531813621520996,3.3958524145670697,3.1117770671844482,219
fold1:c4->c1,fold1,c4,c1,3,0.7,0.8,delta-blend@k3_b07,106.58170318603516,20.67934799194336,4.547455111591907,4.289577007293701,219
fold1:c4->c1,fold1,c4,c1,5,,0.8,delta-knn-only@k5,106.58170318603516,40.731109619140625,6.382092887066172,6.110872745513916,219
fold1:c4->c1,fold1,c4,c1,5,0.3,0.8,delta-blend@k5_b03,106.58170318603516,5.675373077392578,2.3823041529982225,2.0071489810943604,219
fold1:c4->c1,fold1,c4,c1,5,0.5,0.8,delta-blend@k5_b05,106.58170318603516,11.566813468933105,3.401001833126984,3.1215338706970215,219
fold1:c4->c1,fold1,c4,c1,5,0.7,0.8,delta-blend@k5_b07,106.58170318603516,20.757843017578125,4.556077591259627,4.303709983825684,219
fold1:c4->c1,fold1,c4,c1,10,,0.8,delta-knn-only@k10,106.58170318603516,41.060733795166016,6.407864995079564,6.154152870178223,219
fold1:c4->c1,fold1,c4,c1,10,0.3,0.8,delta-blend@k10_b03,106.58170318603516,5.691447734832764,2.3856755300821533,2.021564245223999,219
fold1:c4->c1,fold1,c4,c1,10,0.5,0.8,delta-blend@k10_b05,106.58170318603516,11.633044242858887,3.4107248852493055,3.1419856548309326,219
fold1:c4->c1,fold1,c4,c1,10,0.7,0.8,delta-blend@k10_b07,106.58170318603516,20.905773162841797,4.572283145523886,4.333408355712891,219
fold2:c4->c6,fold2,c4,c6,,,,head-only,,509.1545104980469,22.564452364239795,14.019954681396484,219
fold2:c4->c6,fold2,c4,c6,3,,0.0,delta-knn-only@k3,91.17752075195312,42.33377456665039,6.506441006160771,5.318132400512695,219
fold2:c4->c6,fold2,c4,c6,3,0.3,0.0,delta-blend@k3_b03,91.17752075195312,229.65647888183594,15.154421100188419,10.569891929626465,219
fold2:c4->c6,fold2,c4,c6,3,0.5,0.0,delta-blend@k3_b05,91.17752075195312,109.7300796508789,10.475212630342112,8.270036697387695,219
fold2:c4->c6,fold2,c4,c6,3,0.7,0.0,delta-blend@k3_b07,91.17752075195312,42.92818832397461,6.55196064731578,5.971020698547363,219
fold2:c4->c6,fold2,c4,c6,5,,0.0,delta-knn-only@k5,91.17752075195312,42.034423828125,6.48339601043504,5.296158313751221,219
fold2:c4->c6,fold2,c4,c6,5,0.3,0.0,delta-blend@k5_b03,91.17752075195312,229.9129638671875,15.16288112026166,10.572232246398926,219
fold2:c4->c6,fold2,c4,c6,5,0.5,0.0,delta-blend@k5_b05,91.17752075195312,109.99267578125,10.487739307460402,8.27420425415039,219
fold2:c4->c6,fold2,c4,c6,5,0.7,0.0,delta-blend@k5_b07,91.17752075195312,43.06495666503906,6.56238955450216,5.976856708526611,219
fold2:c4->c6,fold2,c4,c6,10,,0.0,delta-knn-only@k10,91.17752075195312,41.26740264892578,6.423970940853156,5.242644786834717,219
fold2:c4->c6,fold2,c4,c6,10,0.3,0.0,delta-blend@k10_b03,91.17752075195312,230.6411895751953,15.186875569885839,10.5805082321167,219
fold2:c4->c6,fold2,c4,c6,10,0.5,0.0,delta-blend@k10_b05,91.17752075195312,110.75005340576172,10.523785127308601,8.288725852966309,219
fold2:c4->c6,fold2,c4,c6,10,0.7,0.0,delta-blend@k10_b07,91.17752075195312,43.48638153076172,6.594420484831227,5.998096466064453,219
fold2:c4->c6,fold2,c4,c6,3,,0.8,delta-knn-only@k3,106.58170318603516,42.33377456665039,6.506441006160771,5.318132400512695,219
fold2:c4->c6,fold2,c4,c6,3,0.3,0.8,delta-blend@k3_b03,106.58170318603516,229.65647888183594,15.154421100188419,10.569891929626465,219
fold2:c4->c6,fold2,c4,c6,3,0.5,0.8,delta-blend@k3_b05,106.58170318603516,109.7300796508789,10.475212630342112,8.270036697387695,219
fold2:c4->c6,fold2,c4,c6,3,0.7,0.8,delta-blend@k3_b07,106.58170318603516,42.92818832397461,6.55196064731578,5.971020698547363,219
fold2:c4->c6,fold2,c4,c6,5,,0.8,delta-knn-only@k5,106.58170318603516,42.034423828125,6.48339601043504,5.296158313751221,219
fold2:c4->c6,fold2,c4,c6,5,0.3,0.8,delta-blend@k5_b03,106.58170318603516,229.9129638671875,15.16288112026166,10.572232246398926,219
fold2:c4->c6,fold2,c4,c6,5,0.5,0.8,delta-blend@k5_b05,106.58170318603516,109.99267578125,10.487739307460402,8.27420425415039,219
fold2:c4->c6,fold2,c4,c6,5,0.7,0.8,delta-blend@k5_b07,106.58170318603516,43.06495666503906,6.56238955450216,5.976856708526611,219
fold2:c4->c6,fold2,c4,c6,10,,0.8,delta-knn-only@k10,106.58170318603516,41.297035217285156,6.426276932819278,5.246015548706055,219
fold2:c4->c6,fold2,c4,c6,10,0.3,0.8,delta-blend@k10_b03,106.58170318603516,230.64671325683594,15.187057425875361,10.581521034240723,219
fold2:c4->c6,fold2,c4,c6,10,0.5,0.8,delta-blend@k10_b05,106.58170318603516,110.76085662841797,10.524298391266658,8.290410995483398,219
