inner_id,outer_fold,library_run,query_run,setting,k,beta,late_q,stage,num_points,wear_min_um,wear_max_um,mae_um,rmse_um,mean_residual_um,underest_ratio
fold1:c1->c4,fold1,c1,c4,head-only,,,,early,101,91.47920989990234,97.94757843017578,2.613842725753784,2.6337599754333496,2.613842725753784,0.0
fold1:c1->c4,fold1,c1,c4,head-only,,,,mid,45,98.04940032958984,121.59553527832031,1.0364242792129517,1.2481495141983032,0.794281542301178,0.24444444444444444
fold1:c1->c4,fold1,c1,c4,head-only,,,,late,73,122.64857482910156,210.91937255859375,3.10957670211792,4.4585700035095215,-0.9539458155632019,0.3424657534246575
fold1:c1->c4,fold1,c1,c4,global-selected delta-blend@k10_b07,10,0.7,0.0,early,101,91.47920989990234,97.94757843017578,0.9474077820777893,1.250016212463379,0.8764591217041016,0.22772277227722773
fold1:c1->c4,fold1,c1,c4,global-selected delta-blend@k10_b07,10,0.7,0.0,mid,45,98.04940032958984,121.59553527832031,1.2679306268692017,1.4975707530975342,-0.38079071044921875,0.6
fold1:c1->c4,fold1,c1,c4,global-selected delta-blend@k10_b07,10,0.7,0.0,late,73,122.64857482910156,210.91937255859375,4.640211582183838,4.9296555519104,-4.640211582183838,1.0
fold1:c4->c1,fold1,c4,c1,head-only,,,,early,73,94.5686264038086,109.89444732666016,1.405889630317688,1.5603792667388916,-0.35959866642951965,0.5753424657534246
fold1:c4->c1,fold1,c4,c1,head-only,,,,mid,73,110.37812042236328,134.4010467529297,0.7505078315734863,0.8183410167694092,0.2946859896183014,0.3835616438356164
fold1:c4->c1,fold1,c4,c1,head-only,,,,late,73,134.55799865722656,172.6868438720703,1.8186326026916504,2.4436581134796143,0.26237404346466064,0.5342465753424658
fold1:c4->c1,fold1,c4,c1,global-selected delta-blend@k10_b07,10,0.7,0.0,early,73,94.5686264038086,109.89444732666016,0.9470148086547852,1.168614387512207,0.15116611123085022,0.4657534246575342
fold1:c4->c1,fold1,c4,c1,global-selected delta-blend@k10_b07,10,0.7,0.0,mid,73,110.37812042236328,134.4010467529297,4.236967086791992,4.33534574508667,4.236967086791992,0.0
fold1:c4->c1,fold1,c4,c1,global-selected delta-blend@k10_b07,10,0.7,0.0,late,73,134.55799865722656,172.6868438720703,4.8289337158203125,5.197011470794678,4.8289337158203125,0.0
fold2:c4->c6,fold2,c4,c6,head-only,,,,early,73,115.75848388671875,124.82301330566406,3.4080650806427,3.5185139179229736,3.4080650806427,0.0
fold2:c4->c6,fold2,c4,c6,head-only,,,,mid,73,125.06329345703125,175.6009063720703,4.8231658935546875,5.3087053298950195,4.8231658935546875,0.0
fold2:c4->c6,fold2,c4,c6,head-only,,,,late,73,176.8994598388672,234.7159423828125,33.83047866821289,38.560508728027344,-33.82328796386719,0.9863013698630136
fold2:c4->c6,fold2,c4,c6,global-selected delta-blend@k10_b07,10,0.7,0.0,early,73,115.75848388671875,124.82301330566406,5.7067155838012695,5.891059398651123,5.7067155838012695,0.0
fold2:c4->c6,fold2,c4,c6,global-selected delta-blend@k10_b07,10,0.7,0.0,mid,73,125.06329345703125,175.6009063720703,4.854143142700195,5.185412883758545,4.851425647735596,0.0136986301369863
fold2:c4->c6,fold2,c4,c6,global-selected delta-blend@k10_b07,10,0.7,0.0,late,73,176.8994598388672,234.7159423828125,7.433968544006348,8.298934936523438,-7.433968544006348,1.0
