k,beta,late_q,mean_validation_mae,std_validation_mae,num_folds
3,0.3,0.0,22.03718852996826,9.975591735797453,3
3,0.3,0.8,22.03718852996826,9.975591735797453,3
10,0.3,0.8,22.03844928741455,10.019928203254377,3
10,0.3,0.0,22.040614128112793,10.020278090076783,3
5,0.3,0.0,22.043670336405437,9.980609416370198,3
5,0.3,0.8,22.043670336405437,9.980609416370198,3
3,0.5,0.0,22.441553751627605,10.33038120343029,3
3,0.5,0.8,22.441553751627605,10.33038120343029,3
10,0.5,0.8,22.443655014038086,10.404169246007354,3
10,0.5,0.0,22.447262446085613,10.40472507464895,3
5,0.5,0.0,22.452356656392414,10.338742007160137,3
5,0.5,0.8,22.452356656392414,10.338742007160137,3
3,0.7,0.0,22.845919609069824,10.685537455134291,3
3,0.7,0.8,22.845919609069824,10.685537455134291,3
10,0.7,0.8,22.848860104878742,10.788697313653115,3
10,0.7,0.0,22.85391139984131,10.789440200505632,3
5,0.7,0.0,22.861043612162273,10.697238745193603,3
5,0.7,0.8,22.861043612162273,10.697238745193603,3
