fold,k,beta,late_q,mode,stage,num_points,wear_min_um,wear_max_um,mae_um,rmse_um,mean_residual_um,underest_ratio
fold1,,,,head-only,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold1,,,,head-only,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold1,,,,head-only,late,56,134.55799865722656,172.6868438720703,9.12986946105957,10.654738426208496,9.109403610229492,0.03571428571428571
fold1,3,,0.0,delta-knn-only@k3,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold1,3,,0.0,delta-knn-only@k3,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold1,3,,0.0,delta-knn-only@k3,late,56,134.55799865722656,172.6868438720703,9.032132148742676,10.611825942993164,9.011795043945312,0.03571428571428571
fold1,3,0.3,0.0,delta-blend@k3_b03,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold1,3,0.3,0.0,delta-blend@k3_b03,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold1,3,0.3,0.0,delta-blend@k3_b03,late,56,134.55799865722656,172.6868438720703,9.10054874420166,10.631830215454102,9.080121040344238,0.03571428571428571
fold1,3,0.5,0.0,delta-blend@k3_b05,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold1,3,0.5,0.0,delta-blend@k3_b05,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold1,3,0.5,0.0,delta-blend@k3_b05,late,56,134.55799865722656,172.6868438720703,9.081001281738281,10.621326446533203,9.060601234436035,0.03571428571428571
fold1,3,0.7,0.0,delta-blend@k3_b07,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold1,3,0.7,0.0,delta-blend@k3_b07,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold1,3,0.7,0.0,delta-blend@k3_b07,late,56,134.55799865722656,172.6868438720703,9.061453819274902,10.614649772644043,9.041078567504883,0.03571428571428571
fold1,5,,0.0,delta-knn-only@k5,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold1,5,,0.0,delta-knn-only@k5,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold1,5,,0.0,delta-knn-only@k5,late,56,134.55799865722656,172.6868438720703,9.031489372253418,10.748696327209473,9.011025428771973,0.03571428571428571
fold1,5,0.3,0.0,delta-blend@k5_b03,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold1,5,0.3,0.0,delta-blend@k5_b03,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold1,5,0.3,0.0,delta-blend@k5_b03,late,56,134.55799865722656,172.6868438720703,9.100358009338379,10.66398811340332,9.0798921585083,0.03571428571428571
fold1,5,0.5,0.0,delta-blend@k5_b05,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold1,5,0.5,0.0,delta-blend@k5_b05,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold1,5,0.5,0.0,delta-blend@k5_b05,late,56,134.55799865722656,172.6868438720703,9.080681800842285,10.679207801818848,9.060215950012207,0.03571428571428571
fold1,5,0.7,0.0,delta-blend@k5_b07,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold1,5,0.7,0.0,delta-blend@k5_b07,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold1,5,0.7,0.0,delta-blend@k5_b07,late,56,134.55799865722656,172.6868438720703,9.061005592346191,10.701638221740723,9.04054069519043,0.03571428571428571
fold1,10,,0.0,delta-knn-only@k10,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold1,10,,0.0,delta-knn-only@k10,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold1,10,,0.0,delta-knn-only@k10,late,56,134.55799865722656,172.6868438720703,8.824067115783691,10.5921049118042,8.803297996520996,0.03571428571428571
fold1,10,0.3,0.0,delta-blend@k10_b03,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold1,10,0.3,0.0,delta-blend@k10_b03,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold1,10,0.3,0.0,delta-blend@k10_b03,late,56,134.55799865722656,172.6868438720703,9.038130760192871,10.613919258117676,9.017573356628418,0.03571428571428571
fold1,10,0.5,0.0,delta-blend@k10_b05,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold1,10,0.5,0.0,delta-blend@k10_b05,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold1,10,0.5,0.0,delta-blend@k10_b05,late,56,134.55799865722656,172.6868438720703,8.976968765258789,10.597161293029785,8.956351280212402,0.03571428571428571
fold1,10,0.7,0.0,delta-blend@k10_b07,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold1,10,0.7,0.0,delta-blend@k10_b07,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold1,10,0.7,0.0,delta-blend@k10_b07,late,56,134.55799865722656,172.6868438720703,8.91580867767334,10.588815689086914,8.89513111114502,0.03571428571428571
fold1,3,,0.8,delta-knn-only@k3,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold1,3,,0.8,delta-knn-only@k3,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold1,3,,0.8,delta-knn-only@k3,late,56,134.55799865722656,172.6868438720703,9.032132148742676,10.611825942993164,9.011795043945312,0.03571428571428571
