k,beta,late_q,mean_inner_validation_mae,std_inner_validation_mae,num_inner_tasks
3,0.5,0.8,3.4567644794782004,2.4007070247596847,6
5,0.5,0.8,3.470832427342733,2.403075905495612,6
7,0.5,0.8,3.4847559332847595,2.4048275669221906,6
10,0.5,0.8,3.5057331124941506,2.405025553607843,6
15,0.5,0.8,3.5372889240582785,2.401991177183666,6
3,0.3,0.8,3.5489232937494912,2.698725068902563,6
5,0.3,0.8,3.556765059630076,2.700798965283662,6
7,0.3,0.8,3.5643897652626038,2.7026914337187757,6
10,0.3,0.8,3.5755829413731894,2.7045635278717417,6
15,0.3,0.8,3.5917202631632485,2.7062210372669955,6
3,0.7,0.8,3.673801898956299,2.03261486341696,6
5,0.7,0.8,3.6942371328671775,2.0348444039757365,6
7,0.7,0.8,3.71488751967748,2.035838620073284,6
10,0.7,0.8,3.745009263356527,2.0343060033177207,6
15,0.7,0.8,3.7901344895362854,2.0272045327908277,6
3,0.0,0.8,3.8040334781010947,3.3305699144742493,6
5,0.0,0.8,3.8040334781010947,3.3305699144742493,6
7,0.0,0.8,3.8040334781010947,3.3305699144742493,6
10,0.0,0.8,3.8040334781010947,3.3305699144742493,6
15,0.0,0.8,3.8040334781010947,3.3305699144742493,6
3,1.0,0.8,4.205166816711426,1.7645766144143098,6
5,1.0,0.8,4.234045247236888,1.7681595314256529,6
7,1.0,0.8,4.263132433096568,1.77012969196744,6
10,1.0,0.8,4.3053998947143555,1.7695841126818699,6
15,1.0,0.8,4.368886510531108,1.7621543364910948,6
