inner_id,outer_fold,library_run,query_run,k,beta,late_q,mode,library_wear_threshold_um,mse_full_raw,rmse_full_raw,mae_full_raw,valid_points
fold1:c1->c4,fold1,c1,c4,,,,head-only,,2.3519248962402344,1.5335986750907926,1.1317228078842163,219
fold1:c1->c4,fold1,c1,c4,3,,0.8,delta-knn-only@k3,137.7840576171875,16.730932235717773,4.090346224431102,3.531794309616089,219
fold1:c1->c4,fold1,c1,c4,3,0.0,0.8,delta-blend@k3_b00,137.7840576171875,2.3519248962402344,1.5335986750907926,1.1317228078842163,219
fold1:c1->c4,fold1,c1,c4,3,0.3,0.8,delta-blend@k3_b03,137.7840576171875,4.59755277633667,2.144190471095483,1.8287397623062134,219
fold1:c1->c4,fold1,c1,c4,3,0.5,0.8,delta-blend@k3_b05,137.7840576171875,7.079431533813477,2.660720115647919,2.312014579772949,219
fold1:c1->c4,fold1,c1,c4,3,0.7,0.8,delta-blend@k3_b07,137.7840576171875,10.349151611328125,3.217009731307651,2.797645330429077,219
fold1:c1->c4,fold1,c1,c4,3,1.0,0.8,delta-blend@k3_b10,137.7840576171875,16.730932235717773,4.090346224431102,3.531794309616089,219
fold1:c1->c4,fold1,c1,c4,5,,0.8,delta-knn-only@k5,137.7840576171875,16.847148895263672,4.104527852903872,3.5440709590911865,219
fold1:c1->c4,fold1,c1,c4,5,0.0,0.8,delta-blend@k5_b00,137.7840576171875,2.3519248962402344,1.5335986750907926,1.1317228078842163,219
fold1:c1->c4,fold1,c1,c4,5,0.3,0.8,delta-blend@k5_b03,137.7840576171875,4.6204447746276855,2.1495219874724905,1.8323400020599365,219
fold1:c1->c4,fold1,c1,c4,5,0.5,0.8,delta-blend@k5_b05,137.7840576171875,7.123291492462158,2.668949511036535,2.318101644515991,219
fold1:c1->c4,fold1,c1,c4,5,0.7,0.8,delta-blend@k5_b07,137.7840576171875,10.418532371520996,3.227775142651823,2.806286573410034,219
fold1:c1->c4,fold1,c1,c4,5,1.0,0.8,delta-blend@k5_b10,137.7840576171875,16.847148895263672,4.104527852903872,3.5440709590911865,219
fold1:c1->c4,fold1,c1,c4,7,,0.8,delta-knn-only@k7,137.7840576171875,16.9588623046875,4.118113925656683,3.5560121536254883,219
fold1:c1->c4,fold1,c1,c4,7,0.0,0.8,delta-blend@k7_b00,137.7840576171875,2.3519248962402344,1.5335986750907926,1.1317228078842163,219
fold1:c1->c4,fold1,c1,c4,7,0.3,0.8,delta-blend@k7_b03,137.7840576171875,4.642580032348633,2.1546647146014695,1.8358286619186401,219
fold1:c1->c4,fold1,c1,c4,7,0.5,0.8,delta-blend@k7_b05,137.7840576171875,7.165596008300781,2.6768630910640128,2.3240015506744385,219
fold1:c1->c4,fold1,c1,c4,7,0.7,0.8,delta-blend@k7_b07,137.7840576171875,10.4853515625,3.238109257344477,2.814668893814087,219
fold1:c1->c4,fold1,c1,c4,7,1.0,0.8,delta-blend@k7_b10,137.7840576171875,16.9588623046875,4.118113925656683,3.5560121536254883,219
fold1:c1->c4,fold1,c1,c4,10,,0.8,delta-knn-only@k10,137.7840576171875,17.13319206237793,4.139226022142053,3.57490873336792,219
fold1:c1->c4,fold1,c1,c4,10,0.0,0.8,delta-blend@k10_b00,137.7840576171875,2.3519248962402344,1.5335986750907926,1.1317228078842163,219
