inner_id,outer_fold,library_run,query_run,k,beta,late_q,mode,library_wear_threshold_um,mse_full_raw,rmse_full_raw,mae_full_raw,valid_points
fold1:c1->c4,fold1,c1,c4,,,,head-only,,2.3519248962402344,1.5335986750907926,1.1317228078842163,219
fold1:c1->c4,fold1,c1,c4,3,,0.0,delta-knn-only@k3,91.88839721679688,14.102729797363281,3.7553601421652334,2.846811056137085,219
fold1:c1->c4,fold1,c1,c4,3,0.5,0.0,delta-blend@k3_b05,91.88839721679688,5.950252056121826,2.439313849450666,1.81770920753479,219
fold1:c1->c4,fold1,c1,c4,3,,0.5,delta-knn-only@k3,115.10365295410156,16.25421905517578,4.03165214957538,3.4085559844970703,219
fold1:c1->c4,fold1,c1,c4,3,0.5,0.5,delta-blend@k3_b05,115.10365295410156,6.894139766693115,2.6256693940199547,2.2479186058044434,219
fold1:c1->c4,fold1,c1,c4,3,,0.8,delta-knn-only@k3,137.7840576171875,16.730932235717773,4.090346224431102,3.531794309616089,219
fold1:c1->c4,fold1,c1,c4,3,0.5,0.8,delta-blend@k3_b05,137.7840576171875,7.079431533813477,2.660720115647919,2.312014579772949,219
fold1:c4->c1,fold1,c4,c1,,,,head-only,,3.702061414718628,1.9240741707945221,1.6853793859481812,219
fold1:c4->c1,fold1,c4,c1,3,,0.0,delta-knn-only@k3,84.70433044433594,21.830263137817383,4.672286713999622,4.062474250793457,219
fold1:c4->c1,fold1,c4,c1,3,0.5,0.0,delta-blend@k3_b05,84.70433044433594,10.462512969970703,3.2345808028198495,2.809708595275879,219
fold1:c4->c1,fold1,c4,c1,3,,0.5,delta-knn-only@k3,95.31825256347656,21.932315826416016,4.683195044669399,4.099738597869873,219
fold1:c4->c1,fold1,c4,c1,3,0.5,0.5,delta-blend@k3_b05,95.31825256347656,10.496731758117676,3.2398660092845932,2.8202216625213623,219
fold1:c4->c1,fold1,c4,c1,3,,0.8,delta-knn-only@k3,136.6273651123047,52.90342712402344,7.273474212783285,7.165041446685791,219
fold1:c4->c1,fold1,c4,c1,3,0.5,0.8,delta-blend@k3_b05,136.6273651123047,19.15096664428711,4.37618174260246,4.2667436599731445,219
fold2:c4->c6,fold2,c4,c6,,,,head-only,,129.5802459716797,11.38333193628648,11.011155128479004,219
fold2:c4->c6,fold2,c4,c6,3,,0.0,delta-knn-only@k3,84.70433044433594,28.401710510253906,5.329325521138102,5.025313854217529,219
fold2:c4->c6,fold2,c4,c6,3,0.5,0.0,delta-blend@k3_b05,84.70433044433594,65.83372497558594,8.113798430795896,8.018234252929688,219
fold2:c4->c6,fold2,c4,c6,3,,0.5,delta-knn-only@k3,95.31825256347656,28.401710510253906,5.329325521138102,5.025313854217529,219
fold2:c4->c6,fold2,c4,c6,3,0.5,0.5,delta-blend@k3_b05,95.31825256347656,65.83372497558594,8.113798430795896,8.018234252929688,219
fold2:c4->c6,fold2,c4,c6,3,,0.8,delta-knn-only@k3,136.6273651123047,39.778072357177734,6.306985996272525,5.797050476074219,219
fold2:c4->c6,fold2,c4,c6,3,0.5,0.8,delta-blend@k3_b05,136.6273651123047,71.97637176513672,8.483888952899886,8.40410327911377,219
fold2:c6->c4,fold2,c6,c4,,,,head-only,,11.626901626586914,3.409824280895852,2.8729217052459717,219
fold2:c6->c4,fold2,c6,c4,3,,0.0,delta-knn-only@k3,111.19049835205078,8.289311408996582,2.879116428523963,2.3406193256378174,219
fold2:c6->c4,fold2,c6,c4,3,0.5,0.0,delta-blend@k3_b05,111.19049835205078,2.023353099822998,1.42244616763623,1.2885429859161377,219
fold2:c6->c4,fold2,c6,c4,3,,0.5,delta-knn-only@k3,130.439697265625,15.415945053100586,3.9263144363512947,3.602299928665161,219
fold2:c6->c4,fold2,c6,c4,3,0.5,0.5,delta-blend@k3_b05,130.439697265625,6.272468566894531,2.5044896819301394,2.1308372020721436,219
fold2:c6->c4,fold2,c6,c4,3,,0.8,delta-knn-only@k3,176.38914489746094,18.035812377929688,4.24685911915261,3.8974146842956543,219
fold2:c6->c4,fold2,c6,c4,3,0.5,0.8,delta-blend@k3_b05,176.38914489746094,6.812784194946289,2.610131068537802,2.129615306854248,219
fold3:c1->c6,fold3,c1,c6,,,,head-only,,21.833248138427734,4.67260613987823,3.773545026779175,219
fold3:c1->c6,fold3,c1,c6,3,,0.0,delta-knn-only@k3,91.88839721679688,3.640730381011963,1.9080698050679286,1.7909069061279297,219
fold3:c1->c6,fold3,c1,c6,3,0.5,0.0,delta-blend@k3_b05,91.88839721679688,7.794529438018799,2.791868449268124,2.422771692276001,219
fold3:c1->c6,fold3,c1,c6,3,,0.5,delta-knn-only@k3,115.10365295410156,3.6472742557525635,1.9097838243509562,1.793028712272644,219
fold3:c1->c6,fold3,c1,c6,3,0.5,0.5,delta-blend@k3_b05,115.10365295410156,7.799254894256592,2.7927146102415463,2.423832654953003,219
fold3:c1->c6,fold3,c1,c6,3,,0.8,delta-knn-only@k3,137.7840576171875,4.233221054077148,2.057479296147873,1.9378862380981445,219
fold3:c1->c6,fold3,c1,c6,3,0.5,0.8,delta-blend@k3_b05,137.7840576171875,8.295491218566895,2.880189441437298,2.5138306617736816,219
fold3:c6->c1,fold3,c6,c1,,,,head-only,,8.007850646972656,2.8298145958653644,2.3494768142700195,219
fold3:c6->c1,fold3,c6,c1,3,,0.0,delta-knn-only@k3,111.19049835205078,4.012355327606201,2.003086450357598,1.646286129951477,219
fold3:c6->c1,fold3,c6,c1,3,0.5,0.0,delta-blend@k3_b05,111.19049835205078,4.183563709259033,2.0453761779337887,1.9097040891647339,219
fold3:c6->c1,fold3,c6,c1,3,,0.5,delta-knn-only@k3,130.439697265625,9.158486366271973,3.0262991204228262,2.9023895263671875,219
fold3:c6->c1,fold3,c6,c1,3,0.5,0.5,delta-blend@k3_b05,130.439697265625,2.2665250301361084,1.5054982664008978,1.2025519609451294,219
fold3:c6->c1,fold3,c6,c1,3,,0.8,delta-knn-only@k3,176.38914489746094,9.271642684936523,3.0449372218383295,2.9018137454986572,219
fold3:c6->c1,fold3,c6,c1,3,0.5,0.8,delta-blend@k3_b05,176.38914489746094,1.7962921857833862,1.3402582533912584,1.1142793893814087,219
