feature_set,dim,epoch,setting,fold,rmse,mae,notes
pure_rms7,7,200,Baseline,fold1,5.5836,5.2127,head-only
pure_rms7,7,200,Baseline,fold2,4.8488,4.1546,head-only
pure_rms7,7,200,Baseline,fold3,5.1337,3.7970,head-only
pure_rms7,7,200,Baseline,avg,5.1887,4.3881,head-only
pure_rms7,7,200,TMA,fold1,6.4292,5.7977,head-only
pure_rms7,7,200,TMA,fold2,4.9371,4.1570,head-only
pure_rms7,7,200,TMA,fold3,4.1966,3.5394,head-only
pure_rms7,7,200,TMA,avg,5.1876,4.4981,head-only
pure_rms7,7,200,TMA+KNN_knn_only,fold1,3.0424,2.6900,delta-knn-only@k5
pure_rms7,7,200,TMA+KNN_knn_only,fold2,4.7076,4.6059,delta-knn-only@k5
pure_rms7,7,200,TMA+KNN_knn_only,fold3,3.5913,3.2820,delta-knn-only@k5
pure_rms7,7,200,TMA+KNN_knn_only,avg,3.7804,3.5260,delta-knn-only@k5
pure_rms7,7,200,TMA+KNN_blend,fold1,4.4303,4.0788,delta-blend@k5_b05
pure_rms7,7,200,TMA+KNN_blend,fold2,3.8091,3.1766,delta-blend@k5_b05
pure_rms7,7,200,TMA+KNN_blend,fold3,3.6591,3.1157,delta-blend@k5_b05
pure_rms7,7,200,TMA+KNN_blend,avg,3.9662,3.4570,delta-blend@k5_b05
pure_rms7,7,300,Baseline,fold1,5.0665,4.4243,head-only
pure_rms7,7,300,Baseline,fold2,6.2884,5.1470,head-only
pure_rms7,7,300,Baseline,fold3,5.7984,4.3575,head-only
pure_rms7,7,300,Baseline,avg,5.7178,4.6429,head-only
pure_rms7,7,300,TMA,fold1,5.9324,5.5669,head-only
pure_rms7,7,300,TMA,fold2,5.6726,4.9189,head-only
pure_rms7,7,300,TMA,fold3,5.2238,4.2480,head-only
pure_rms7,7,300,TMA,avg,5.6096,4.9113,head-only
pure_rms7,7,300,RetrievalBackbone,fold1,5.9324,5.5669,head-only from retrieval backbone log
pure_rms7,7,300,RetrievalBackbone,fold2,5.6726,4.9189,head-only from retrieval backbone log
pure_rms7,7,300,RetrievalBackbone,fold3,5.2238,4.2480,head-only from retrieval backbone log
pure_rms7,7,300,RetrievalBackbone,avg,5.6096,4.9113,head-only from retrieval backbone log
full133,133,200,Baseline,fold1,43.8633,29.9033,head-only
full133,133,200,Baseline,fold2,5.3699,4.1883,head-only
full133,133,200,Baseline,fold3,5.3054,3.9337,head-only
full133,133,200,Baseline,avg,18.1796,12.6751,head-only
full133,133,200,TMA,fold1,43.0307,28.9756,head-only
full133,133,200,TMA,fold2,4.6115,3.9030,head-only
full133,133,200,TMA,fold3,4.7317,3.9751,head-only
