Epoch,Method (模型方法),特征,损失函数,C1,C1,C4,C4,C6,C6,Avg,Avg,Note (备注)
,,,,MAE,RMSE,MAE,RMSE,MAE,RMSE,MAE,RMSE,
200,Head-only,"RMS-7 (7D), epoch=200",MSE(wear) + λ_m L_mono + λ_s L_smooth,4.1546,4.8488,3.7970,5.1337,5.2127,5.5836,4.3881,5.1887,7通道RMS
,TMA,"RMS-7 (7D), epoch=200",MSE(wear) + λ_m L_mono + λ_s L_smooth,4.1570,4.9371,3.5394,4.1966,5.7977,6.4292,4.4980,5.1876,7通道RMS
,KNN,"RMS-7 (7D), epoch=200",MSE(wear) + λ_m L_mono + λ_s L_smooth,2.5361,2.8732,2.5289,3.0947,2.3257,2.6935,2.4636,2.8871,7通道RMS
,blend,"RMS-7 (7D), epoch=200",MSE(wear) + λ_m L_mono + λ_s L_smooth,2.8194,3.3881,3.105,3.9773,3.0682,3.3493,2.9975,3.5716,7通道RMS
,KNN+TMA,"RMS-7 (7D), epoch=200",MSE(wear) + λ_m L_mono + λ_s L_smooth,4.6059,4.7076,3.2820,3.5913,2.6900,3.0424,3.5260,3.7804,7通道RMS
,KNN+TMA+blend,"RMS-7 (7D), epoch=200",MSE(wear) + λ_m L_mono + λ_s L_smooth,3.1766,3.8091,3.1157,3.6591,4.0788,4.4303,3.4570,3.9662,7通道RMS
,Head-only,RMS-7 + PTP-7 (14D),MSE(wear) + λ_m L_mono + λ_s L_smooth,5.0482,5.8455,3.6138,4.4019,5.3528,7.8411,4.6716,6.0295,7通道RMS + 7通道PTP
,KNN,RMS-7 + PTP-7 (14D),MSE(wear) + λ_m L_mono + λ_s L_smooth,2.2228,2.5591,2.5847,3.1604,2.3405,2.7017,2.3827,2.8071,7通道RMS + 7通道PTP
,blend,RMS-7 + PTP-7 (14D),MSE(wear) + λ_m L_mono + λ_s L_smooth,2.2228,2.5591,2.5847,3.1604,2.3405,2.7017,2.3827,2.8071,7通道RMS + 7通道PTP
,Head-only,RMS-7 + WaveletEnergy-7 (14D),MSE(wear) + λ_m L_mono + λ_s L_smooth,4.6214,4.7808,6.0646,7.5543,6.2435,10.0659,5.6432,7.4670,7通道RMS + 7通道小波能量
,KNN,RMS-7 + WaveletEnergy-7 (14D),MSE(wear) + λ_m L_mono + λ_s L_smooth,2.6661,2.9061,2.7703,3.2696,2.4306,2.7784,2.6223,2.9847,7通道RMS + 7通道小波能量
